Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1685457060,+3.49,+27.185, +7.816,+0.962
1685457120,+3.49,+27.168, +7.812,+0.962
1685457180,+3.49,+27.126, +7.811,+0.961
1685457240,+3.49,+27.109, +7.807,+0.961
1685457300,+3.49,+27.084, +7.812,+0.962
1685457360,+3.49,+27.067, +7.811,+0.961
1685457420,+3.49,+27.016, +7.822,+0.962
1685457480,+3.49,+26.990, +7.824,+0.962
1685457540,+3.49,+26.973, +7.821,+0.962
1685457600,+3.49,+26.939, +7.825,+0.962
1685457660,+3.49,+26.922, +7.823,+0.962
1685457720,+3.49,+26.872, +7.828,+0.961
1685457780,+3.49,+26.846, +7.827,+0.961
1685457840,+3.49,+26.838, +7.820,+0.961
1685457900,+3.49,+26.787, +7.834,+0.961
1685457960,+3.49,+26.770, +7.836,+0.962
1685458020,+3.49,+26.728, +7.842,+0.962
1685458080,+3.49,+26.694, +7.847,+0.962
1685458140,+3.49,+26.660, +7.852,+0.962
1685458200,+3.49,+26.609, +7.856,+0.962
1685458260,+3.49,+26.584, +7.862,+0.962
1685458320,+3.49,+26.541, +7.865,+0.962
1685458380,+3.49,+26.524, +7.864,+0.962
1685458440,+3.49,+26.465, +7.879,+0.962
1685458500,+3.48,+26.465, +7.879,+0.962
1685458560,+3.48,+26.423, +7.881,+0.962
1685458620,+3.48,+26.381, +7.883,+0.962
1685458680,+3.48,+26.355, +7.891,+0.962
1685458740,+3.48,+26.296, +7.896,+0.962
1685458800,+3.49,+26.279, +7.894,+0.962
1685458860,+3.49,+26.262, +7.940,+0.962
1685458920,+3.48,+26.288, +7.918,+0.962
1685458980,+3.49,+25.722, +8.406,+0.960
1685459040,+3.49,+25.124, +8.867,+0.961
1685459100,+3.49,+24.737, +9.059,+0.962
1685459160,+3.49,+24.468, +9.175,+0.963
1685459220,+3.49,+24.292, +9.227,+0.962
1685459280,+3.49,+24.183, +9.267,+0.963
1685459340,+3.49,+24.090, +9.279,+0.963
1685459400,+3.49,+23.998, +9.270,+0.962
1685459460,+3.49,+23.856, +9.320,+0.963
1685459520,+3.49,+23.671, +9.403,+0.963
1685459580,+3.49,+23.587, +9.467,+0.964
1685459640,+3.49,+23.596, +9.466,+0.964
1685459700,+3.49,+23.571, +9.435,+0.964
1685459760,+3.49,+23.520, +9.428,+0.964
1685459820,+3.49,+23.487, +9.453,+0.964
1685459880,+3.49,+23.445, +9.496,+0.964
1685459940,+3.49,+23.437, +9.698,+0.964
1685460000,+3.49,+23.370, +9.770,+0.964
1685460060,+3.49,+23.336, +9.783,+0.964
1685460120,+3.49,+23.319, +9.818,+0.964
1685460180,+3.49,+23.319, +9.835,+0.964
1685460240,+3.49,+23.336, +9.871,+0.964
1685460300,+3.49,+23.328, +9.921,+0.964
1685460360,+3.49,+23.336, +9.966,+0.965
1685460420,+3.49,+23.328, +9.976,+0.965
1685460480,+3.49,+23.336, +9.981,+0.965
1685460540,+3.49,+23.336, +9.987,+0.965
1685460600,+3.49,+23.319, +9.981,+0.964
1685460660,+3.49,+23.319, +9.978,+0.965
1685460720,+3.49,+23.303, +9.960,+0.965
1685460780,+3.49,+23.303, +9.924,+0.965
1685460840,+3.49,+23.303, +9.880,+0.964
1685460900,+3.49,+23.278, +9.859,+0.965
1685460960,+3.49,+23.278, +9.814,+0.964
1685461020,+3.49,+23.252, +9.785,+0.964
1685461080,+3.49,+23.261, +9.750,+0.965
1685461140,+3.49,+23.244, +9.717,+0.965
1685461200,+3.49,+23.227, +9.678,+0.964
1685461260,+3.49,+23.211, +9.665,+0.965
1685461320,+3.49,+23.202, +9.609,+0.964
1685461380,+3.49,+23.219, +9.567,+0.964
1685461440,+3.49,+23.185, +9.552,+0.965
1685461500,+3.49,+23.194, +9.517,+0.965
1685461560,+3.49,+23.185, +9.486,+0.964
1685461620,+3.49,+23.169, +9.444,+0.964
1685461680,+3.49,+23.152, +9.415,+0.964
1685461740,+3.49,+23.135, +9.393,+0.965
1685461800,+3.49,+23.144, +9.350,+0.964
1685461860,+3.49,+23.127, +9.318,+0.964
1685461920,+3.49,+23.127, +9.288,+0.964
1685461980,+3.49,+23.127, +9.253,+0.964
1685462040,+3.49,+23.135, +9.219,+0.964
1685462100,+3.49,+23.110, +9.206,+0.964
1685462160,+3.49,+23.102, +9.188,+0.965
1685462220,+3.49,+23.102, +9.149,+0.964
1685462280,+3.49,+23.085, +9.125,+0.965
1685462340,+3.49,+23.085, +9.094,+0.964
1685462400,+3.49,+23.077, +9.057,+0.964
1685462460,+3.49,+23.035, +9.043,+0.964
1685462520,+3.49,+23.060, +9.004,+0.964
1685462580,+3.49,+23.052, +8.979,+0.964
1685462640,+3.49,+23.043, +8.972,+0.965
1685462700,+3.49,+23.035, +8.941,+0.964
1685462760,+3.49,+23.026, +8.917,+0.964
1685462820,+3.49,+23.001, +8.905,+0.964
1685462880,+3.49,+23.001, +8.885,+0.964
1685462940,+3.49,+23.001, +8.857,+0.964
1685463000,+3.49,+23.001, +8.829,+0.964
1685463060,+3.49,+23.001, +8.796,+0.963
1685463120,+3.49,+22.976, +8.794,+0.964
1685463180,+3.49,+22.976, +8.766,+0.964
1685463240,+3.49,+22.968, +8.754,+0.964
1685463300,+3.49,+22.959, +8.712,+0.964
1685463360,+3.49,+22.951, +8.663,+0.964
1685463420,+3.49,+22.959, +8.616,+0.964
1685463480,+3.49,+22.934, +8.572,+0.964
1685463540,+3.49,+22.934, +8.524,+0.964
1685463600,+3.49,+22.918, +8.487,+0.965
1685463660,+3.49,+22.926, +8.422,+0.964
1685463720,+3.49,+22.918, +8.374,+0.964
1685463780,+3.49,+22.918, +8.329,+0.964
1685463840,+3.49,+22.909, +8.292,+0.964
1685463900,+3.49,+22.892, +8.248,+0.964
1685463960,+3.49,+22.775, +9.712,+0.965
1685464020,+3.49,+22.700,+10.037,+0.965
1685464080,+3.49,+22.658,+10.083,+0.965
1685464140,+3.49,+22.616,+10.067,+0.964
1685464200,+3.49,+22.583,+10.067,+0.965
1685464260,+3.49,+22.566,+10.069,+0.965
1685464320,+3.49,+22.558,+10.056,+0.965
1685464380,+3.49,+22.541,+10.057,+0.965
1685464440,+3.49,+22.533,+10.062,+0.965
1685464500,+3.49,+22.524,+10.034,+0.965
1685464560,+3.49,+22.524,+10.020,+0.965
1685464620,+3.49,+22.516,+10.003,+0.965
1685464680,+3.49,+22.516, +9.990,+0.964
1685464740,+3.49,+22.499, +9.995,+0.965
1685464800,+3.49,+22.508, +9.996,+0.965
1685464860,+3.49,+22.508, +9.987,+0.965
1685464920,+3.49,+22.416, +8.385,+0.964
1685464980,+3.49,+22.365, +8.374,+0.964
1685465040,+3.49,+22.307, +8.388,+0.964
1685465100,+3.49,+22.206, +8.413,+0.964
1685465160,+3.49,+22.114, +8.423,+0.964
1685465220,+3.49,+21.997, +8.457,+0.964
1685465280,+3.49,+22.098, +8.597,+0.964
1685465340,+3.49,+22.206, +8.875,+0.964
1685465400,+3.49,+22.273, +9.556,+0.964
1685465460,+3.49,+22.357, +9.822,+0.965
1685465520,+3.49,+22.357, +9.930,+0.964
1685465580,+3.49,+22.374, +9.969,+0.965
1685465640,+3.49,+22.407, +9.963,+0.965
1685465700,+3.49,+22.416, +9.944,+0.965
1685465760,+3.49,+22.424, +9.931,+0.965
1685465820,+3.49,+22.449, +9.891,+0.964
1685465880,+3.49,+22.457, +9.910,+0.965
1685465940,+3.49,+22.466, +9.917,+0.965
1685466000,+3.49,+22.482, +9.923,+0.965
1685466060,+3.49,+22.491, +9.922,+0.964
1685466120,+3.49,+22.499, +9.958,+0.965
1685466180,+3.49,+22.508, +9.980,+0.964
1685466240,+3.49,+22.499,+10.006,+0.964
1685466300,+3.49,+22.516,+10.036,+0.965
1685466360,+3.49,+22.516,+10.082,+0.966
1685466420,+3.49,+22.524,+10.085,+0.964
1685466480,+3.49,+22.508,+10.133,+0.965
1685466540,+3.49,+22.533,+10.168,+0.966
1685466600,+3.49,+22.541,+10.168,+0.964
1685466660,+3.49,+22.541,+10.194,+0.964
1685466720,+3.49,+22.524,+10.232,+0.965
1685466780,+3.49,+22.533,+10.259,+0.965
1685466840,+3.49,+22.541,+10.271,+0.965
1685466900,+3.49,+22.516,+10.310,+0.965
1685466960,+3.49,+22.533,+10.336,+0.965
1685467020,+3.49,+22.533,+10.351,+0.965
1685467080,+3.49,+22.524,+10.365,+0.965
1685467140,+3.49,+22.533,+10.388,+0.965
1685467200,+3.49,+22.533,+10.405,+0.965
1685467260,+3.49,+22.541,+10.434,+0.966
1685467320,+3.49,+22.508,+10.454,+0.965
1685467380,+3.49,+22.533,+10.465,+0.965
1685467440,+3.49,+22.508,+10.477,+0.965
1685467500,+3.49,+22.516,+10.483,+0.965
1685467560,+3.49,+22.516,+10.489,+0.964
1685467620,+3.49,+22.508,+10.505,+0.965
1685467680,+3.49,+22.508,+10.517,+0.965
1685467740,+3.49,+22.499,+10.532,+0.965
1685467800,+3.49,+22.491,+10.530,+0.965
1685467860,+3.49,+22.482,+10.558,+0.966
1685467920,+3.49,+22.499,+10.548,+0.966
1685467980,+3.49,+22.482,+10.547,+0.965
1685468040,+3.49,+22.474,+10.554,+0.966
1685468100,+3.49,+22.491,+10.532,+0.965
1685468160,+3.49,+22.457,+10.551,+0.965
1685468220,+3.49,+22.449,+10.530,+0.965
1685468280,+3.49,+22.457,+10.538,+0.966
1685468340,+3.49,+22.441,+10.531,+0.966
1685468400,+3.49,+22.432,+10.525,+0.966
1685468460,+3.49,+22.416,+10.501,+0.965
1685468520,+3.49,+22.407,+10.497,+0.965
1685468580,+3.49,+22.390,+10.477,+0.965
1685468640,+3.49,+22.407,+10.463,+0.965
1685468700,+3.49,+22.390,+10.465,+0.965
1685468760,+3.49,+22.382,+10.432,+0.965
1685468820,+3.49,+22.374,+10.410,+0.965
1685468880,+3.49,+22.349,+10.383,+0.965
1685468940,+3.49,+22.332,+10.343,+0.964
1685469000,+3.49,+22.340,+10.296,+0.964
1685469060,+3.49,+22.307,+10.273,+0.965
1685469120,+3.49,+22.273, +8.479,+0.964
1685469180,+3.49,+22.014, +8.479,+0.963
1685469240,+3.49,+21.880, +8.482,+0.963
1685469300,+3.49,+21.721, +8.508,+0.963
1685469360,+3.49,+21.579, +8.559,+0.963
1685469420,+3.49,+21.454, +8.567,+0.963
1685469480,+3.49,+21.379, +8.573,+0.964
1685469540,+3.49,+21.287, +8.605,+0.964
1685469600,+3.49,+21.253, +8.609,+0.963
1685469660,+3.49,+21.178, +8.620,+0.964
1685469720,+3.49,+21.136, +8.631,+0.964
1685469780,+3.49,+21.119, +8.614,+0.963
1685469840,+3.49,+21.044, +8.641,+0.963
1685469900,+3.49,+21.011, +8.658,+0.963
1685469960,+3.49,+20.960, +8.635,+0.963
1685470020,+3.49,+20.944, +8.636,+0.963
1685470080,+3.49,+20.885, +8.683,+0.964
1685470140,+3.49,+20.826, +8.701,+0.963
1685470200,+3.49,+20.885, +8.648,+0.964
1685470260,+3.49,+20.985, +8.656,+0.964
1685470320,+3.49,+21.128, +8.630,+0.964
1685470380,+3.49,+21.261, +8.609,+0.964
1685470440,+3.49,+21.337, +8.592,+0.964
1685470500,+3.49,+21.437, +8.578,+0.964
1685470560,+3.49,+21.504, +8.560,+0.964
1685470620,+3.49,+21.537, +8.568,+0.964
1685470680,+3.49,+21.621, +8.554,+0.964
1685470740,+3.49,+21.655, +8.548,+0.964
1685470800,+3.49,+21.705, +8.552,+0.964
1685470860,+3.49,+21.763, +8.522,+0.964
1685470920,+3.49,+21.797, +8.520,+0.964
1685470980,+3.49,+21.830, +8.525,+0.964
1685471040,+3.49,+21.864, +8.499,+0.964
1685471100,+3.49,+21.880, +8.413,+0.964
1685471160,+3.49,+21.930, +8.406,+0.964
1685471220,+3.49,+21.947, +8.396,+0.964
1685471280,+3.49,+21.972, +8.396,+0.964
1685471340,+3.49,+21.997, +8.393,+0.964
1685471400,+3.49,+22.022, +8.384,+0.964
1685471460,+3.49,+22.039, +8.383,+0.964
1685471520,+3.49,+22.056, +8.380,+0.964
1685471580,+3.48,+22.089, +8.506,+0.964
1685471640,+3.49,+22.140, +8.497,+0.964
1685471700,+3.49,+22.140, +8.502,+0.964
1685471760,+3.49,+22.140, +8.519,+0.964
1685471820,+3.49,+22.173, +8.507,+0.964
1685471880,+3.49,+22.223, +8.493,+0.964
1685471940,+3.49,+22.206, +8.516,+0.964
1685472000,+3.49,+22.232, +8.516,+0.963
1685472060,+3.49,+22.232, +8.512,+0.964
1685472120,+3.49,+22.240, +8.517,+0.964
1685472180,+3.49,+22.248, +8.509,+0.964
1685472240,+3.49,+22.273, +8.435,+0.964
1685472300,+3.49,+22.265, +8.385,+0.963
1685472360,+3.49,+22.273, +8.477,+0.964
1685472420,+3.49,+22.273, +8.468,+0.963
1685472480,+3.49,+22.298, +8.477,+0.964
1685472540,+3.49,+22.298, +8.480,+0.964
1685472600,+3.49,+22.315, +8.476,+0.964
1685472660,+3.49,+22.307, +8.472,+0.964
1685472720,+3.49,+22.307, +8.384,+0.964
1685472780,+3.49,+22.307, +8.387,+0.964
1685472840,+3.49,+22.290, +8.390,+0.963
1685472900,+3.49,+22.307, +8.397,+0.964
1685472960,+3.49,+22.307, +8.396,+0.964
1685473020,+3.49,+22.315, +8.391,+0.964
